id,ontological_category,semanticfield,description,name,Kinship2,Number,Clothing,Speech,Time,Emotion,Body,physGeo,Plant,Animal,notes,included?,words_Arabic,words_Indonesian,words_Basque,words_Tamil,words_Albanian,words_Hindi,words_Russian,words_Spanish,words_Swahili,words_Turkish,words_Hungarian,words_Thai,words_English
3252,Person/Thing,The body,An organ of the digestive system of vertebrates.,PANCREAS,,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3253,Person/Thing,Agriculture and vegetation,A flowering plant in the family Rutaceae.,PRICKLY ASH,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3254,Person/Thing,Animals,"Like a puppy of a dog, a general term for naming younger animals.",YOUNG ANIMAL,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3256,Person/Thing,Agriculture and vegetation,"Fagopyrum tataricum, a domesticated plant similar to the (sweet) buckwheat.",BITTER BUCKWHEAT,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3257,Person/Thing,The body,"A part of the female genitalia located at the front of the vulva, consisting of a sensitive erectile body.",CLITORIS,,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3258,Person/Thing,Animals,"A bird of prey of genus Falco, which kill preys with its beak (unlike Accipitridae as eagles and hawks, which kill with its feet).",FALCON,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3259,Person/Thing,Animals,A small ungulate with goat-like and antelope-like appearance.,GORAL,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3260,Person/Thing,Animals,"A bird characterized by a long, down-curved, and frequently colored beak.",HORNBILL,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3261,Person/Thing,Animals,"A large wasp that can inflict a severe sting, characteristically building large papery nests.",HORNET,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3262,Person/Thing,Animals,"A fly of the family Tabanidae, known for biting humans.",HORSEFLY,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3263,Person/Thing,The body,"The front area from waist to knees, especially when sitting.",LAP,,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3265,Person/Thing,Agriculture and vegetation,"Eleusine coracana, a herbaceous plant characteristic for the hability to withstand cultivation at high altitudes.",FINGER MILLET,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3266,Person/Thing,Agriculture and vegetation,"Staria italica, an annual grass grown for human food and related to (broomcorn) millet.",FOXTAIL MILLET,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3268,Person/Thing,Speech and language,A sentence used to obtain information by evoking a response.,QUESTION,,,,TRUE,,,,,,,decided yes b/c it is a thing you say,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3270,Person/Thing,Animals,"A short-horned, dark-coated goat antelope of southeast Asia mountain areas.",SEROW,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3271,Person/Thing,Animals,A squirrel of the sub-family Pteromyinae of the family Sciuridae.,FLYING SQUIRREL,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3272,Person/Thing,Animals,"A large goat antelope of eastern Himalayan area, Budorcas taxicolor.",TAKIN,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3279,Person/Thing,Animals,A predatory insect of the order Mantodea; mantid; praying mantis.,MANTIS,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3281,Person/Thing,Agriculture and vegetation,A tall grain-bearing plant of the Poaceae family; coixseed; yi yi.,JOB'S TEARS,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3288,Person/Thing,Agriculture and vegetation,"A plant that grows wild and profusely, especially when considered undesirable for agriculture.",WEED,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3297,Person/Thing,The physical world,"A very steep decline, typically found in the mountains or on shores, or a stretch of ground forming a geological incline, e.g. a hillside.",PRECIPICE OR SLOPE,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3298,Person/Thing,Animals,"Any of the species of Simiiformes, including Hominoidea (but typically excluding humans).",APE OR MONKEY,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3310,Person/Thing,The physical world,"The land touching a body of water, irrespective of the special characteristics of the body of water.",SHORE OR BANK,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3311,Person/Thing,The physical world,"A generic way to refer to a flowing body of water, for example used to refer to rivers, brooks, streams, creeks etc.",FLOWING BODY OF WATER,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3313,Person/Thing,Animals,A wild dog-like animal of the Canis genus home to parts of Asia and Africa.,JACKAL,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3314,Person/Thing,Animals,"A wild animal of the Lynx genus, with characteristic spots on its fur and a short tail.",LYNX,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3315,Person/Thing,Agriculture and vegetation,A plant with blue flowers that is cultivated for its stem to make linen or its seeds to make oil.,FLAX,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3316,Person/Thing,Agriculture and vegetation,"Used to refer to flowers of the hop plant, used as flavouring or bittering agent in cooking and brewing activities.",HOPS,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3317,Person/Thing,Agriculture and vegetation,A tall tree with broad leaves.,ELM,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3321,Person/Thing,The physical world,"A body of water of undefined size, e.g. ranging from small ponds to large lakes.",POND OR LAKE,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3323,Person/Thing,Time,A period of heavy rain particularly during summer time.,MONSOON SEASON,,,,,TRUE,,,,,,blanket yes on all things that are periods of time,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3329,Person/Thing,Animals,A young horse between one and two years old.,YEARLING (HORSE),,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3335,Person/Thing,Religion and belief,"A place in nature believed to hold special religious, magical, etc. powers.",SACRED GROVE,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3344,Person/Thing,The body,The side of the body.,SIDE (BODY),,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3352,Person/Thing,Time,The third day of the month.,THIRD DAY OF THE MONTH,,,,,TRUE,,,,,,blanket yes on all things that are periods of time,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3354,Person/Thing,Time,The first day of the month.,FIRST DAY OF THE MONTH,,,,,TRUE,,,,,,blanket yes on all things that are periods of time,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3355,Person/Thing,Time,The second day of the month.,SECOND DAY OF THE MONTH,,,,,TRUE,,,,,,blanket yes on all things that are periods of time,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3380,Person/Thing,Warfare and hunting,A type of canine bred for hunting or a dog trained to assist humans with hunting.,HUNTING DOG,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3382,Person/Thing,Animals,"A male peafowl, a species of the family Phasianidae, which is known for displaying its massive tail as part of mate-selection ritual.",PEACOCK,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3384,Person/Thing,Animals,A small predator of the genus Mustela characterized by a slender body that lets it hunt burrowing animals.,WEASEL,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3387,Person/Thing,The body,The third and longest finger on the human hand.,MIDDLE FINGER,,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3388,Person/Thing,The body,A vascular organ that is formed inside the womb to ensure the transfer of vital nutrients and regulation of metabolic exchange between mother and the foetus.,PLACENTA,,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3390,Person/Thing,Agriculture and vegetation,A plant of the genus Zizania with edible grains and stem.,WILD RICE,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3397,Person/Thing,Animals,A worm that belongs to Nematode species; parasitic types of roundworms infest the digestive tract of humans and other mammals.,ROUNDWORM,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3425,Person/Thing,Speech and language,"Something that is said or done in a non-serious, comic way.",JOKE,,,,TRUE,,,,,,,decided yes b/c it is a thing you say,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3457,Person/Thing,Clothing and grooming,An cloth or strip of cloth worn on or around the head.,HEADBAND OR HEADDRESS,,,TRUE,,,,,,,,yes bc headdress is yes,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3460,Person/Thing,The physical world,A sandy strip of land close to the sea or ocean.,,,,,,,,g,,,y,True,,[],[],[],[],[],[],[],[],[],[],[],,
3462,Person/Thing,Agriculture and vegetation,"A plant with blue flowers that is cultivated for its stem to make linen or its seeds to make oil, or a material made from the fibers of the flax plant.",FLAX OR LINEN,,,,,,,,,TRUE,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3463,Person/Thing,The physical world,The margin or shore of a river.,RIVERBANK,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3464,Person/Thing,The physical world,The margin or shore of a lake.,SHORE OF LAKE,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
