"ontological_category","semanticfield","id","description","name","Kinship","Number","Clothing","Speech","Time","Emotion","Body","physGeo","Plant","Animal","notes","included"
"Person/Thing","The house",901,"An unburnt brick dried in the sun made of clay and dried grasses.","ADOBE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Law",902,"Sex by a married person with someone other than their spouse.","ADULTERY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Agriculture and vegetation",903,"A kind of poplar tree (genus Populus; section Populus).","ASPEN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"",TRUE
"Person/Thing","Food and drink",904,"A soft fruit which develops from a superior ovary and contains seeds not encased in pits.","BERRY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Property","Emotions and values",905,"Causing boredom.","BORING",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no bc only the causer",FALSE
"Person/Thing","Agriculture and vegetation",906,"Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.","TREE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"",TRUE
"Person/Thing","Kinship",907,"An old woman.","OLD WOMAN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Speech and language",908,"A percussion instrument consisting of at least one membrane that is stretched over a shell and struck directly with the player's hands or with a drumstick.","DRUM",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Modern world",909,"Unwanted or undesired material, usually discarded.","GARBAGE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","The body",910,"The end of life.","DEATH",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Religion and belief",911,"A house of worship and spiritual activities.","TEMPLE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",912,"(Canis latrans) A member of the Canidae family native to North America.","COYOTE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","Animals",913,"A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.","CROW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","Basic actions and technology",914,"A person who practices the art of sculpture.","SCULPTOR",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Modern world",915,"A bowl for washing hands, dishwashing or other purposes, often affixed to a wall.","SINK (BASIN)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
